,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
ERR,ErrorCoin,Scrypt,True,PoW,,81000000
TIC,TrueInvestmentCoin,Scrypt,True,PoW/PoS,,53200000
NUKE,NukeCoin,PoS,True,PoS,,2778196
SFC,Solarflarecoin,Scrypt,True,PoW,0,20000000
JANE,JaneCoin,X11,True,PoW/PoS,,2100000000
PARA,ParanoiaCoin,Scrypt,True,PoW,,72000000
MM,MasterMint,X11,True,PoS,,1500000000
CTL,Citadel,CryptoNight-V7,True,PoW,10969318.522954,185000000
ZBC,Zilbercoin,Scrypt,True,PoS,2922613.96424908,55000000
FRST,FirstCoin,Scrypt,True,PoW/PoS ,110000000,110000000
ORO,OroCoin,Scrypt,True,PoW,,23529412
ALEX,Alexandrite,SHA-256,True,PoW/PoS,,1268000
TBCX,TrashBurn,SHA-256D,True,PoS,,9000000
MCAR,MasterCar,Scrypt,True,PoW/PoS,,2991837
THS,TechShares,DPoS,True,DPoS,,600000000
ACES,AcesCoin,X13,True,PoS,,100000000
UAEC,United Arab Emirates Coin,X11,False,PoW/PoS,,10000000
EA,EagleCoin,SHA-256,True,PoW,,40000000
CREA,CreativeChain,Keccak,True,PoW,0,115000000
BVC,BeaverCoin,Scrypt,True,PoW,3115258,3360000
FIND,FindCoin,X13,True,PoS,14524851.4827,14524851.4827
MLITE,MeLite,SHA-256D,True,PoW/PoS,,1.000.000
STALIN,StalinCoin,X11,True,PoW/PoS,,3000000000
TSE,TattooCoin,Scrypt,True,PoW/PoS,,500000000
VLTC,VaultCoin,X11,True,PoW,30385540,1000000000
BIOB,BioBar,SHA-256D,True,PoW/PoS,,60000000
ZER,Zero,Equihash,True,PoW,6921653.89980891,17000000
CHAT,OpenChat,Scrypt,True,PoW/PoS,1000000000,1000000000
CDN,Canada eCoin,Scrypt,True,PoW,99843408.3158479,100000000 
ZOI,Zoin,Lyra2RE,True,PoW,18545757.5,21000000
HONEY,Honey,Blake2S,True,PoW/PoS,,7000000
MXT,MartexCoin,X13,True, PoW/PoS,,5000000
MUSIC,Musicoin,Ethash,True,PoW,0,454898394
VEG,BitVegan,PoS,True,PoS,,600000000
MBIT,Mbitbooks,Scrypt,True,PoW,,81000000
ZENI,Zennies,Scrypt,True,PoS,,1000000000
PLANET,PlanetCoin,Scrypt,True,PoW/PoS,,1000000
DUCK,DuckDuckCoin,Scrypt,True,PoW,,121
BNX,BnrtxCoin,X11,True,PoW,0,210000000
RNS,RenosCoin,Scrypt,True,PoS,36050365,34426423
DBIX,DubaiCoin,Dagger-Hashimoto,True,PoW,2232901,2232901
XVP,VirtacoinPlus,X11,True,PoW/PoS,13162749.0858027,100000000
BOAT,Doubloon,536,True,PoW/PoS,,500000000
TAJ,TajCoin,Blake2S,True,PoW/PoS,12184195.9258495,36900000
IMX,Impact,X11,True,PoW/PoS,110630387.850471,110000000
CJC,CryptoJournal,PoS,True,PoS,,100000000
AMY,Amygws,Scrypt,True,PoW,,23333333
QBT,Cubits,SHA-256,True,PoW/PoS,,300000000
EB3,EB3coin,Scrypt,True,PoW,64096052,4000000000
XVE,The Vegan Initiative,PoS,True,PoS,,50000000
APT,Aptcoin,Scrypt-n,True,PoW,,42000000
BLAZR,BlazerCoin,Scrypt,True,PoW,,294336000
UNI,Universe,Scrypt,True,PoS,0,112000000
ECOC,ECOcoin,Scrypt,True,PoW/PoS,,10733333
DARK,Dark,SHA-256,True,PoW/PoS,,12800000
DON,DonationCoin,Scrypt,True,PoW,,90000000
ATMOS,Atmos,PoS,True,PoS,111135836.889,110290030
HPC,HappyCoin,X11,True,PoW/PoS,21521322.0099142,100000000
CXT,Coinonat,NIST5,True,PoW,10123200,48252000
MCRN,MacronCoin,PoS,True,PoS,401421401,400000000
RAIN,Condensate,X11,True,PoW/PoS,121665451.643876,500000000
IEC,IvugeoEvolutionCoin,Scrypt,True,PoW,,100000000
IMS,Independent Money System,Scrypt,True,PoW/PoS,5368934,21212121
ARGUS,ArgusCoin,Scrypt,True,PoW/PoS,1148324,28600000
LMC,LomoCoin,Scrypt,True,PoW/PoS,500000,1000000000
BTCS,Bitcoin Scrypt,Scrypt,True,PoW,0,21000000
PROC,ProCurrency,SHA-256,True,PoS,100545745,75000000000
XGR,GoldReserve,X11,True,PoW/PoS,17171382,40000000
BENJI,BenjiRolls,Scrypt,True,PoW,20276099.146524,35520400
DUO,ParallelCoin,Scrypt,True,PoW,0,1000000
GRW,GrowthCoin,Scrypt,True,PoS,295135466.361878,2000000000
ILC,ILCoin,SHA-256,True,PoW,1317747500,2500000000
PZM,Prizm,SHA-256,True,PoS,,600000000000000
PHR,Phreak,PoS,True,PoS,11390225.9742772,30000000
PUPA,PupaCoin,Blake2S,True,PoW/PoS,,3500000000
RICE,RiceCoin,X13,True,PoW/PoS,,10000000
XCT,C-Bits,SHA-256,True,PoW,,210000000
DEA,Degas Coin,Scrypt,True,PoW/PoS,21358764,105000000
ZSE,ZSEcoin,X11,True,PoW/PoS,0,2093500000
TAP,TappingCoin,X11,True,PoW/PoS,,5000000000
MUU,MilkCoin,SHA-256,True,PoW/PoS ,,4500000000
INF8,Infinium-8,CryptoNight,False,PoW,,0
HTML5,HTML5 Coin,X15,True,PoW/PoS,40659020000,90000000000
SBSC,Subscriptio,PoS,True,PoS,,10000000
USC,Ultimate Secure Cash,SHA-256,True,PoS,10343113,200084200
DUX,DuxCoin,Scrypt,True,PoW/PoS,,1680000000
XPS,PoisonIvyCoin,Scrypt,True,PoW/PoS,,4666666667
EQT,EquiTrader,Scrypt,True,PoW,13673406.4325268,72000000
MNTC,Manet Coin,Scrypt,True,PoW/PoS,,215000000
HAMS,HamsterCoin,Scrypt,True,PoW,,20000000
QTUM,QTUM,POS 3.0,True,PoS,100000000,100000000
NEF,NefariousCoin,Scrypt,True,PoW/PoS,,4835000000
QRL,Quantum Resistant Ledger,CryptoNight-V7,True,PoW,69036016.8340164,105000000
ESP,Espers,536,True,PoW/PoS,22801882871,50000000000
DYN,Dynamic,Argon2d,True,PoW,19784224.6512734,0
NANO,Nano,Blake2b,True,PoW,133248297,340282367
CHAN,ChanCoin,Cloverhash,True,PoW,18407259.0885883,30000000
DCY,Dinastycoin,CryptoNight,True,PoW,1809467143,2000000000
DNR,Denarius,NIST5,True,PoW/PoS,4171382,10000000
DP,DigitalPrice,X11,True,PoW,35138975,100000000
VUC,Virta Unique Coin,NIST5,True,PoW/PoS,62942075,120000000
BTPL,Bitcoin Planet,Skein,True,PoW/PoS,6804362,100000000
UNIFY,Unify,Scrypt,True,PoW,18133195,19276800
BRIT,BritCoin,X13,True,PoW/PoS,21268092,30000000
SOCC,SocialCoin,Scrypt,True,PoW,5167775, 75000000
OTX,Octanox,X11,True,PoW/PoS,0,7905634
ARC,ArcticCoin,X11,True,PoW,26042364.3735553,60000000
BOG,Bogcoin,SHA-256,True,PoW,,21212121
SAND,BeachCoin,X11,True,PoW,,21000000
DAS,DAS,X11,True,PoW,2622886,18900000
LINDA,Linda,Scrypt,True,PoW/PoS,9044930943.24243,50000000000
XLC,LeviarCoin,CryptoNight,True,PoW,14161803,54000000
ONION,DeepOnion,X13,True,PoW/PoS,21917018.0492836,18898187.6216583
BTX,Bitcore,Time Travel,True,PoW,17801865.1605478,21000000
GCN,gCn Coin,Scrypt,True,PoW,163055097500,200000000000
SMART,SmartCash,Keccak,True,PoW,2241009149.22257,5000000000
SIGT,Signatum,SkunkHash v2 Raptor,True,PoS,107972766,137500000
ONX,Onix,X11,True,PoW,122475638.389743,1100000000
WINK,Wink,PoS,True,PoS,,80000000
CRM,Cream,Skein,True,PoW/PoS,47331802.4774238,100000000
BCH,Bitcoin Cash,SHA-256,True,PoW,17995589.6469082,21000000
BMXT,Bitmxittz,Scrypt,False,PoW/PoS,,10000
XMCC,Monoeci,X11,True,PoW/PoS,12569262.5359307,9507271
CMPCO,CampusCoin,Scrypt,True,PoW,0,1010000000
DFT,Draftcoin,Scrypt,True,PoS,18663297.3489799,17405891.19707116
VET,Vechain,VeChainThor Authority,True,Proof of Authority,55454734800,86712634466
SOJ,Sojourn Coin,Scrypt,True,PoW,485214,10500000000
STCN,Stakecoin,PoS,True,PoS,4000000,61599965
NYC,NewYorkCoin,Scrypt,True,PoW,143006669741.687,0
LBTC,LiteBitcoin,Scrypt,True,PoW,0,1000000000
FRAZ,FrazCoin,Scrypt,True,PoW,9704042,20000000
KRONE,Kronecoin,Scrypt,True,PoW,17453749.4042601,84000000
ACC,AdCoin,Scrypt,True,PoW,32646731.063036,100000000
LINX,Linx,Scrypt,True,PoW,33716526,100000000
XCXT,CoinonatX,Scrypt,True,PoW/PoS,19539588,48252000
BLAS,BlakeStar,Blake2S,True,PoW/PoS,,2400000000
ETHD,Ethereum Dark,Scrypt,True,PoW/PoS,4200000,4200000
SUMO,Sumokoin,CryptoNight,True,PoW,8946653,88888888
ODN,Obsidian,SHA-512,True,PoS,25000000,91388946
ADA,Cardano,Ouroboros,True,PoS,25927070538,45000000000
REC,Regalcoin,X11,True,PoW/PoS,7262402.04264803,27000000
BTCZ,BitcoinZ,Equihash,True,PoW,5211553258.01514,21000000000
NTM,NetM,Scrypt,True,PoW,,101318932073.89769
TZC,TrezarCoin,NeoScrypt,True,PoW/PoS,182638400,400000000
ELM,Elements,X11,True,PoW,2702855668.85288,1800000000
TER,TerraNovaCoin,Scrypt,True,PoW/PoS,1140734.91680375,15733333
VIVO,VIVO Coin,NeoScrypt,True,PoW,4165967.57499639,27000000
RGC,RG Coin,NIST5,True,PoW/PoS,,300000000
RUP,Rupee,Lyra2REv2,True,PoS,24000000,24000000
BTG,Bitcoin Gold,Equihash,True,PoW,17202361.088994,21000000
WOMEN,WomenCoin,Scrypt,True,PoW/PoS,48459472454,25000000000
MAY,Theresa May Coin,SHA-256,True,PoW/PoS,92050800,100000000
EDDIE,Eddie coin,Scrypt,True,PoW/PoS,,1000000000
NAMO,NamoCoin,NIST5,True,PoW/PoS,560563220,1200000000
LUX,LUXCoin,PHI1612,True,PoW/PoS,8305775.31777569,60000000
PIRL,Pirl,Dagger,True,PoW,33986980,156306732.71
XIOS,Xios,Scrypt,True,PoW/PoS,2149688,21000000
BTDX,Bitcloud 2.0,Quark,True,PoW/PoS,30711550.5294042,200000000
EBST,eBoost,Scrypt,True,PoW,99990001.493466,100000000
KEK,KekCoin,POS 2.0,True,PoS,12330806.30517,21000000
BLHC,BlackholeCoin,Scrypt,True,PoW/PoS,16362544.992,14788275.991
ALTCOM,AltCommunity Coin,SkunkHash,True,PoW/PoS,0,5000000
PURE,Pure,X11,True,PoW/PoS,0,3686860
RUPX,Rupaya,Quark,True,PoS,0,75000000
XIN,Infinity Economics,SHA-256,True,PoS,8999999990,9000000000
HNCN,Huncoin,X13,False,PoW,,86400000
MADC,MadCoin,Scrypt,True,PoW,,10000000
PURA,Pura,X11,True,PoW,175215859,350000000
INN,Innova,NeoScrypt,True,PoW,6375259.04,45000000
BDL,Bitdeal,Scrypt,True,PoW,0,300000000
WSC,WiserCoin,Scrypt,False,PoW,,22105263
MSR,Masari,CryptoNight,True,PoW,,18500000
ELLA,Ellaism,Ethash,True,PoW,12756367,280000000
SKR,Sakuracoin,Scrypt,True,PoW,0,105100000
ISH,Interstellar Holdings,Scrypt,False,PoS,0,1970000000
GBX,GoByte,NeoScrypt,True,PoW,5832306.875,31800000
CSTL,Castle,Quark,True,DPoS,0,50000000 
ICC,Insta Cash Coin,SHA-256,False,PoW,0,300000000
ALQO,Alqo,Quark,False,PoW/PoS,65269530.104519,57879300
KNGN,KingN Coin,Scrypt,False,PoW/PoS,,420000
MAG,Magnet,X11,True,PoW/PoS,38198594.8342105,144000000
TAU,Lamden Tau,DPoS,True,DPoS,288090567.493887,500000000
ECA,Electra,NIST5,True,PoW/PoS,28399150208,30000000000
BCD,Bitcoin Diamond,X13,True,PoW/PoS,183534024.889807,210000000
VOT,Votecoin,Equihash,True,PoW,,220000000
XSH,SHIELD,Multiple,True,PoW,481730566.566176,660000000
BCO*,BridgeCoin,Scrypt,False,PoW,0,27000000
DSR,Desire,NeoScrypt,True,PoW,,22000000
MUT,Mutual Coin,Scrypt,False,PoW/PoS,0,1000000000
CNBC,Cash & Back Coin,Scrypt,True,PoW/PoS,110976977.29338,210000000
XUN,UltraNote,CryptoNight,True,PoW,19281821413.4924,85000000000
MAN,People,Scrypt,True,PoW,,7500000000
ACHN,Achain,DPoS,True,DPoS,,1000000000
NRO,Neuro,SHA-256,False,PoW/PoS,,20000000
SEND,Social Send,Quark,True,PoW/PoS,,150000000
COAL,BitCoal,CryptoNight,True,PoW,4500000,12500000
DAXX,DaxxCoin,Ethash,True,PoW,520891780,10000000000
BWK,Bulwark,NIST5,True,PoS,13247178.8807286,27716121
BOXY,BoxyCoin,Scrypt,False,PoW,5761512.8103491,100000000
SBTC,Super Bitcoin,SHA-256,True,PoW,,21210000
KLKS,Kalkulus,Quark,True,PoS,16955764.902064,20000000
AC3,AC3,X11,True,PoW,80316207,550000000
CHIPS,CHIPS,SHA-256,True,PoW,0,21000000
LTHN,Lethean,CryptoNight-V7,True,PoW,441250233.377,999481516
GER,GermanCoin,Scrypt,True,PoW/PoS,4911500269.41,50000000000
LTCU,LiteCoin Ultra,Scrypt,True,PoW/PoS,8419402.321,150000000
STAK,Straks,Lyra2REv2,True,PoW,,150000000
POP,PopularCoin,Scrypt,True,PoW,3964201248.87125,4999999999
PNX,PhantomX,X11,True,PoW/PoS,45174214.1078625,50000000
HBC,HomeBlockCoin,X11,False,PoW/PoS,0,28000000
HTML,HTML Coin,SHA-256,True,PoW/PoS,0,90000000000
PHO,Photon,BLAKE256,True,PoW,30089671530.5228, 90000000000
SUCR,Sucre,X11,True,PoW,4229040.50393462,19800000
ACCO,Accolade,Scrypt,False,PoW/PoS,5573908,50000000
CPN,CompuCoin,Scrypt,True,PoW,,35000000
XFT,Fantasy Cash,Scrypt,True,PoW/PoS,0,4600000
OMGC,OmiseGO Classic,Scrypt,False,PoW/PoS,49933217.7511508,70000000
ORE,Galactrum,Lyra2REv2,True,PoW/PoS,,26280000
SPK,SparksPay,NeoScrypt,True,PoW,7847417.33355824,21000000
GOA,GoaCoin,NeoScrypt,False,PoW,3982139.24553469,32000000
WAGE,Digiwage,Quark,True,PoS,27299680,120000000
GUN,GunCoin,NeoScrypt,True,PoW,299797953,500000000
POLIS,PolisPay,X11,True,PoW,,25000000
IRL,IrishCoin,Scrypt,True,PoW,45483049.3398182,64000000
TROLL,Trollcoin,Scrypt,True,PoW/PoS,591022748,900000000
LCP,Litecoin Plus,Scrypt,True,PoW/PoS,2504486.227718,4000000
TGCC,TheGCCcoin,X13,True,PoW/PoS,,2400000000
MONK,Monkey Project,X11,True,PoS,4407252,21000000
KZC,KZCash,X11,True,PoW,,18000000
WCG,World Crypto Gold,SHA-256,True,Proof of Stake,,900000000
ECC,ECC,Scrypt,False,PoS,25000000000,25000000000
STN,Steneum Coin,Scrypt,True,PoW,,20000000
PCOIN,Pioneer Coin,X11,True,PoW,8478104.33969947,23000000
UBTC,UnitedBitcoin,SHA-256,True,PoW,20166000,20166000
ITZ,Interzone,C11,True,PoW,11916588.09471,23000000
XBP,Black Pearl Coin,X13,True,PoW/PoS,,50000000
SGL,Sigil,NeoScrypt,False,PoW,0,50000000
OPC,OP Coin,Scrypt,True,PoW/PoS,0,2000000000
SHA,Shacoin,SHA-256,True,PoS,,350000000
BTW,BitWhite,DPoS,True,DPoS,,60000000
CROAT,Croat,CryptoNight,True,PoW,,100467441
VAL,Valorbit,Scrypt,True,PoW/PoS,0,92233720000000000
TPAY,TokenPay,POS 3.0,True,PoS,20445861.5344251,25000000
CVNG,Crave-NG,SHA-256,True,PoS,,1000000000
MCT,1717 Masonic Commemorative Token,Ethash,True,PoS,1618033,1618033
CWIS,Crypto Wisdom Coin,Scrypt,False,PoW,17630550.2128923,24000000
MBC,My Big Coin,Scrypt,True,PoW and PoS,9399342.52839847,30000000
WOBTC,WorldBTC,Scrypt,False,PoW/PoS,,210000000
TRTL,TurtleCoin,CryptoNight,True,PoW,53139835213.77,1000000000000
NDLC,NeedleCoin,X11,False,PoS/PoW,,120000000
MUN,MUNcoin,SkunkHash,True,PoW,4818338.98949984,16600000
USX,Unified Society USDEX,Scrypt,True,PoW/PoS,234846265.782157,232000000
BCA,Bitcoin Atom,SHA-256,True,PoW/PoS,,21000000
B2X,SegWit2x,X11,True,PoW/PoS,,21000000
NBR,Niobio Cash,CryptoNight,True,PoW,133932467.774108,336000000
SCOOBY,Scooby coin,Scrypt,True,PoW/PoS,,21000000
BUN,BunnyCoin,Scrypt,True,PoW,,100000000000
BSR,BitSoar Coin,X11,False,PoS,3680297312.25584,3980000000
SKULL,Pirate Blocks,X11,True,PoW/PoS,,240000000
BTCP,Bitcoin Private,Equihash,True,PoW,0,21000000
SKC,Skeincoin,Skein,True,PoW,0,17000000
KRM,Karma,Groestl,True,PoS,,3000000000
CDY,Bitcoin Candy,Equihash,True,PoW,,21000000000
SSS,ShareChain,Scrypt,True,PoW,10000000000,10000000000
CRDNC,Credence Coin,SHA-256,False,PoW/PoS,3427006,25000000
TRF,Travelflex,Dagger,True,PoW,107325266.027783,100000000
KREDS,KREDS,Lyra2REv2,True,PoW,643795911.540095,1100000000
VULC,Vulcano,NIST5,True,PoS/PoW,,421126225
TOKC,Tokyo Coin,X13,True,PoS,230298925,800000000
BBP,BiblePay,Proof-of-BibleHash,True,POBh,1772091549.88818,5200000000
LCC,LitecoinCash,SHA-256 + Hive,True,PoW + Hive,638382332.208514,840000000
FLIP,BitFlip,Scrypt,True,PoW,12446100.00278,40000000
LOT,LottoCoin,Scrypt,True,PoW,14491014421,18406979840
FUNK,Cypherfunks Coin,Scrypt,True,PoW,,49275000000
LEAF,LeafCoin,Scrypt,True,PoW,0,21000000000
BASHC,BashCoin,Skein,False,PoW/PoS,11661844.4720073,72000000
DGM,DigiMoney,X11,False,PoW/PoS,3521630,25000000
CBS,Cerberus,NeoScrypt,True,PoW,0,31500000
BTCH,Bitcoin Hush,Equihash,True,PoW,0,21000000
LIZ,Lizus Payment,Skein,False,PoW/PoS,2985970.9999482,69000000
CIF,Crypto Improvement Fund,X11,True,PoW,211297638.500483,500000000
SPD,Stipend,C11,True,PoW/PoS,11251342.1879021,19340594
POA,Poa Network,Proof-of-Authority,True,PoA,204479039,252460800
PUSHI,Pushi,X11,True,PoW/PoS,2167827.1,25000000
POKER,PokerCoin,Scrypt,False,PoS/PoW,0,466666667
ELP,Ellerium,XEVAN,True,PoW/PoS,419275.38,60000000
VLX,Velox,Scrypt,True,PoS,25570013.1348022,124000000
ONT,Ontology,VBFT,True,PoS,650848625,1000000000
CLO,Callisto Network,Ethash,True,PoW,247612453,6500000000
CRU,Curium,X11,True,PoW,0,22000000
ELIC,Elicoin,YescryptR16,True,PoW,,10000000
TUBE,BitTube,CryptoNight,True,PoW,80049082.9057215,1000000000
DIN,Dinero,NeoScrypt,True,PoW,0,100000000
PSD,Poseidon,Scrypt,True,PoW,4070212.1493016,21000000
LELE,Lelecoin,Curve25519,True,PoS,,1000000000
AKA,Akroma,Ethash,True,PoW,,100000000
MANNA,Manna,SHA-256,False,PoW,2360478328.70966,10044655075.56243680
ADK,Aidos Kuneen,IMesh,True,PoW,25000000,25000000
SERA,Seraph,PHI1612,False,PoW/PoS,1360250,32000000
AET,AfterEther,Ethash,False,PoW,,200000000
